class,Question,a,b,c,d,Answer
BeastAttack.cs,What does the BeastAttack class do in the Unity project?,Manages player movement,Generates sounds,Manages the beast attack behavior and player hit behavior,Controls the camera,c
BeastAttack.cs,What does the gameObject that uses the BeastAttack.cs script need to have on it?,A Rigidbody,A Collider,A Cinemachine Impulse Source,All of the above,d
BeastAttack.cs,What happens when the player gets hit while in the beast's Escaping state?,The player is pushed back,The player is pushed back and the beast enters a cooldown state,The player is pushed back and the beast dies,The player is not affected,b
BeastKillsPlayerSequenceAnimator.cs,What is the purpose of the BeastKillsPlayerSequenceAnimator class?,To control player movement,To manage the beast killing player animation sequence,To handle player combat actions,To store references to key player components,b
BeastKillsPlayerSequenceAnimator.cs,"In the BeastKillsPlayerSequenceAnimator class, what does the StartSequence method do?",Finds the farthest destination from the player,Activates and plays the animation sequence,Returns a random destination,Sets the player position,b
BeastKillsPlayerSequenceAnimator.cs,What does the OnRespawnClicked method do in the BeastKillsPlayerSequenceAnimator class?,Deactivates the animation sequence,Teleports the player,Sets the player position,Finds the farthest destination from the player,a
Beast.BeastManager.cs,"What states can the beast be in, according to the State enum?","Sleep, On Target, Roaming, Escaping, and Bleeding","Sleep, On Target, Roaming, Escaping, and Killing","Sleep, On Target, Roaming, Escaping, and Attacking","Sleep, On Target, Roaming, Escaping, and Stunned",b
Beast.BeastManager.cs,What happens when the lights are back on? (event LevelEventHub.OnLightsBackOn),The beast changes to state Sleep.,The beast changes to state Killing.,The beast changes to state Escaping.,The beast changes to state Roaming.,c
Beast.BeastManager.cs,What is the purpose of the _scapingState variable?,To control the beast's movement when it is escaping.,To control the beast's movement when it is sleeping.,To control the beast's movement when it is roaming.,To control the beast's movement when it is on target.,a
BeastState.cs,What is the purpose of the BeastState abstract class in Unity's Beast.States namespace? ,To control player movement,To manage some player behavior functionality,To handle player combat actions,To store references to key player components,d
BeastState.cs,"In the BeastState class, what is the purpose of the LookAt() method? ",To shoot a laser beam in a direction,To slowly turn the head to face a target position,To change the rotation of the entire beast to point it at a position,To fire a projectile at a target,b
BeastState.cs,Which method in the BeastState class is responsible for setting up the state's properties and injecting its required parameters? ,Init(),Activate(),EnterState(),Start(),a
BeastStateKilling.cs,"In the BeastStateKilling class, what is the purpose of the _timeLeft field?",To store the time since the player was killed,To store the time left until the beast starts attacking,To store the time left before the beast changes state,To store the time left until the beast kills the player,c
BeastStateKilling.cs,What does the Update() method do in the BeastStateKilling class?,Hides the beast from the player,Makes the beast look at the player and transition to roaming state after a certain time,Makes the beast attack the player,Makes the beast chase the player,b
BeastStateKilling.cs,What happens when the BeastStateKilling state is activated?,The beast becomes invisible,The beast's movement speed is set to normal,The beast's attack cooldown is reset,The beast's navigation path is reset,d
BeastStateOnTarget.cs,What is the purpose of the 'eyeSightDistance' field in BeastStateOnTarget.cs?,It stops other beasts from getting in the player's way.,It sets the player's fast speed.,It defines how far the beast can see.,It determines the player's normal speed.,c
BeastStateOnTarget.cs,What will happen if the player is not in the beast's line of sight in BeastStateOnTarget.cs?,The beast will charge at the player.,The beast will continue chasing the player.,The beast will transition to RoamingOnSight state.,The beast will transition to Roaming state.,d
BeastStateOnTarget.cs,When does the beast start running toward the player in BeastStateOnTarget.cs?,When the player is within a certain distance.,When the beast is on cooldown.,When the beast is in RoamingOnSight state.,When the player is not in the beast's line of sight.,a
BeastStateRoaming.cs,"In BeastStateRoaming.cs, what is the purpose of the `CheckForPlayerInSight()` method?",To check if the player is in the beast's line of sight.,To check if the player is making sound.,To update the beast's current roaming position.,To change the beast's state to OnTarget.,a
